"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1"
"02950099999","1904-01-13T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","09950,1",
"02950099999","1904-01-13T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","140,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09948,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-14T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","140,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09870,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-14T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","110,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0028,1","+9999,9","09818,1",
"02950099999","1904-01-14T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","110,1,N,0159,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09798,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-15T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","160,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0006,1","+9999,9","09823,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-15T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","110,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","09855,1",
"02950099999","1904-01-15T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","110,1,N,0098,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","09883,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-16T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","110,1,N,0118,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09915,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-16T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","090,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0044,1","+9999,9","09943,1",
"02950099999","1904-01-16T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","090,1,N,0082,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","09974,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-17T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","10018,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-17T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","050,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0067,1","+9999,9","10054,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-17T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","050,1,N,0041,1","99999,9,9,N","000000,1,N,9","-0089,1","+9999,9","10095,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-18T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","070,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0072,1","+9999,9","10172,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-18T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","000000,1,N,9","-0056,1","+9999,9","10212,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-18T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0062,1","99999,9,9,N","000000,1,N,9","-0033,1","+9999,9","10231,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-19T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0017,1","+9999,9","10224,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-19T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0139,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10240,1","06,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-19T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0006,1","+9999,9","10266,1","02,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-20T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10283,1","02,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-20T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0082,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10283,1",
"02950099999","1904-01-20T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10248,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-21T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0139,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10171,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-21T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10146,1",
"02950099999","1904-01-21T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","290,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10176,1","01,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-22T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","320,1,N,0139,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10243,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-22T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10218,1",
"02950099999","1904-01-22T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0180,1","99999,9,9,N","000000,1,N,9","-0011,1","+9999,9","10123,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-23T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0159,1","99999,9,9,N","000000,1,N,9","+0033,1","+9999,9","10074,1","02,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-23T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","270,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0033,1","+9999,9","10070,1",
"02950099999","1904-01-23T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","270,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0033,1","+9999,9","10067,1","08,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-24T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","290,1,N,0118,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","10143,1","01,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-24T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0062,1","99999,9,9,N","000000,1,N,9","+0028,1","+9999,9","10163,1",
"02950099999","1904-01-24T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","230,1,N,0139,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10138,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-25T06:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","250,1,N,0098,1","99999,9,9,N","000000,1,N,9","+0011,1","+9999,9","10134,1","00,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-25T13:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0017,1","+9999,9","10162,1","03,99,1,99,9,99,9,99999,9,99,9,99,9"
"02950099999","1904-01-25T20:00:00","4","60.1166666","21.7","4.5","PARAINEN FAGERHOLM, FI","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","000000,1,N,9","+0000,1","+9999,9","10166,1","03,99,1,99,9,99,9,99999,9,99,9,99,9"
